BRI
P.F. Hadow
J.T. Hartley
J.T. Hartley
W.C. Renshaw
W.C. Renshaw
W.C. Renshaw
W.C. Renshaw
W.C. Renshaw
W.C. Renshaw
H.F. Lawford
J.E. Renshaw
W.C. Renshaw
W.J. Hamilton
W. Baddeley
W. Baddeley
J. Pim
J. Pim
W. Baddeley
H.S. Mahony
R.F. Doherty
R.F. Doherty
R.F. Doherty
R.F. Doherty
A.W. Gore
H.L. Doherty
H.L. Doherty
H.L. Doherty
H.L. Doherty
H.L. Doherty
N.E. Brookes
A.W. Gore
A.W. Gore
A.F. Wilding
A.F. Wilding
A.F. Wilding
A.F. Wilding
N.E. Brookes
G.L. Patterson
W.T. Tilden
W.T. Tilden
G.L. Patterson
W. M. Johnston
J.R. Borotra
J.R. Lacoste
J.R. Borotra
H.J. Cochet
J.R. Lacoste
H.J. Cochet
W.T. Tilden
S.B.B. Wood
H.E.Vines
J.H. Crawford
F.J. Perry
F.J. Perry
F.J. Perry
J.D. Budge
J.D. Budge
R.L. Riggs
Y.F.M. Petra
J.A. Kramer
R. Falkenburg
F.R. Schroeder
J.E. Patty
R. Savitt
F.A. Sedgman
E.V. Seixas
J. Drobny
M.A. Trabert
L.A. Hoad
L.A. Hoad
A.J. Cooper
A.R. Olmedo
N.A. Fraser
R.G. Laver
R.G. Laver
C.R. McKinley
R.S. Emerson
R.S. Emerson
M.M. Santana
J.D. Newcombe
R.G. Laver
R.G. Laver
J.D. Newcombe
J.D. Newcombe
S.R. Smith
J. Kodes
J.S. Connors
A.R. Ashe
B.R. Borg
B.R. Borg
B.R. Borg
B.R. Borg
B.R. Borg
J.P. McEnroe
J.S. Connors
J.P. McEnroe
J.P. McEnroe
B.F. Becker
B.F. Becker
P.H. Cash
S.B. Edberg
B.F. Becker
S.B. Edberg
M.D. Stich
A.K. Agassi
P. Sampras
P. Sampras
P. Sampras
R.P.S. Krajicek
P. Sampras
P. Sampras
P. Sampras
P. Sampras
G.S. Ivanisevic
L.G. Hewitt
R. Federer
R. Federer
R. Federer
R. Federer
R. Federer
R. Nadal
R. Federer
R. Nadal
N. Djokovic
